Food_Item,Calories,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Meal_Type
cream cheese,51,5.0,2.9,1.3,0.2,0.8,0.5,0.9,0.0,14.6,0.016,7.6,0.0775,0.033,0.064,0.092,0.097,0.084,0.052,0.096,0.004,0.0,0.0,0.1,0.008,0.9400000000000001,0.082,0.027,1.3,0.091,15.5,0.20099999999999998,0.039,7.07,Low
neufchatel cheese,215,19.4,6.654,4.9,0.8,3.1,2.7,7.8,0.0,62.9,0.3,53.6,0.0775,0.099,0.079,0.09,0.1,0.2,0.5,0.078,0.0,0.0,0.3,0.045,99.5,0.034,0.1,8.5,0.088,117.3,129.2,0.054,0.7,130.1,High
requeijao cremoso light catupiry,49,3.6,2.3,0.9,0.0,0.9,3.4,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,Low
ricotta cheese,30,2.0,1.3,0.5,0.002,1.5,0.091,1.5,0.0,9.8,0.017,14.7,0.075,0.019,0.079,0.091,0.027,0.041,0.016,0.007,0.006,0.0,0.001,0.011,0.097,0.9400000000000001,0.097,0.096,1.6945,0.024,30.8,0.20099999999999998,0.035,5.196,Low
cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9,1.2,0.0,8.1,0.046,10.0,0.016,0.08,0.062,0.049,0.026,0.08,0.1,0.003,0.0,0.0,0.009,0.019,22.2,0.072,0.008,1.2,0.098,22.8,37.1,0.034,0.053,27.007,Low
cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1.0,2.8,0.0,2.2,0.1,12.9,0.063,0.02,0.089,0.092,0.021,0.025,0.2,0.038,0.0,0.0,0.049,0.059,63.2,0.039,0.053,4.0,0.028,94.1,50.0,0.013,0.3,67.679,Medium
gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,8.3,0.0,30.8,0.2,9.3,0.061,0.021,0.072,0.078,0.004,0.043,0.2,0.051,0.0,0.0,0.035,0.048,119.5375,0.033,0.094,10.1,0.002,169.4,22.7,0.079,1.1,300.694,High
cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,6.4,0.0,27.7,0.2,10.3,0.054,0.031,0.005,0.073,0.1,0.01,0.1,0.005,0.0,0.0,0.2,0.035,119.5375,0.099,0.077,7.6,0.063,127.4,21.3,0.009,1.0,215.53,High
parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046,6.4,0.0,12.2,0.2,5.4,0.067,0.062,0.099,0.059,0.057,0.039,0.06,0.066,0.0,0.0,0.018,0.021,119.5375,0.051,0.1,7.9,0.073,124.9,16.6,0.045,0.5,224.777,High
romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088,1.6,0.0,5.2,0.008,1.5,0.064,0.058,0.026,0.045,0.059,0.055,0.025,0.029,0.0,0.0,0.078,0.004,53.2,0.046,0.03,2.1,0.002,38.0,4.3,0.087,0.1,56.38,Medium
parmesan cheese grated,21,1.4,0.8,0.4,0.036,0.7,0.075,1.4,0.0,4.3,0.043,1.1,0.017,0.003,0.015,0.091,0.081,0.077,0.057,0.077,0.007,0.0,0.002,0.014,0.012,0.9400000000000001,0.094,0.094,1.6945,0.026,31.4,0.20099999999999998,0.038,3.745,Low
port salut cheese,465,23.049999999999997,6.654,8.413375,1.0,0.8,0.8,31.4,0.0,65.9375,0.696,60.0,0.0775,0.012,0.035,0.067,0.3,0.019,0.3,0.08,0.0,0.0,0.3,0.094,119.5375,0.062,0.6,31.7,0.095,425.98749999999995,179.5,0.015,2.9175,312.37675,High
swiss cheese,98,7.7,4.6,2.0,0.3,0.4,0.0,6.7,0.0,23.3,0.057,9.4,0.069,0.008,0.027,0.008,0.018,0.058,0.1,0.036,0.0,0.0,0.2,0.056,119.5375,0.026,0.024,8.3,0.062,143.5,18.0,0.031,1.1,237.396,High
goat cheese hard,128,10.1,6.654,2.3,0.2,0.6,0.6,8.6,0.0,29.7,0.076,8.2,0.0775,0.071,0.035,0.093,0.3,0.7,0.1,0.007,0.0,0.0,0.083,0.039,119.5375,0.2,0.5,15.3,0.088,206.3,13.6,0.082,0.4,273.2,High
gouda cheese,100,7.7,4.9,2.2,0.2,0.6,0.6,7.0,0.0,31.9,0.2,11.6,0.053,0.016,0.042,0.01,0.009,0.081,0.011,0.053,0.0,0.0,0.026,0.074,119.5375,0.013,0.06,8.1,0.08,152.9,33.9,0.05,1.1,211.424,High
pepper jack cheese lucerne,75,6.0,4.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,Low
caraway cheese,106,8.3,5.3,2.3,0.2,0.9,0.0,7.1,0.0,26.3,0.2,11.1,0.014,0.077,0.066,0.038,0.1,0.04,0.022,0.086,0.0,0.0,0.0,0.0,119.5375,0.007,0.2,6.2,0.002,138.7,26.3,0.009,0.8,207.072,High
gjetost cheese,579,23.049999999999997,6.654,8.413375,2.1,61.81249999999999,0.0,21.9,0.0,65.9375,0.696,30.5,0.0775,0.4925,0.076,0.047,0.4865,1.8,1.9280000000000002,0.6,0.0,0.0,0.0,0.0,119.5375,0.2,1.2,90.0625,0.035,425.98749999999995,809.3375,0.039,2.6,312.37675,High
tilsit cheese,136,10.4,6.654,2.9,0.3,0.8,0.0,9.8,0.0,40.8,0.3,17.1,0.057,0.036,0.072,0.058,0.1,0.068,0.1,0.036,0.0,0.0,0.0,0.0,119.5375,0.033,0.01,5.2,0.086,200.0,26.0,0.026,1.4,301.069,High
goat cheese,103,8.4,5.8,1.9,0.2,0.009,0.031,6.1,0.0,22.4,0.1,12.9,0.0775,0.013,0.011,0.086,0.2,0.3,0.03,0.087,0.0,0.0,0.082,0.046,84.3,0.2,0.5,8.2,0.008,106.1,44.7,0.005,0.2,99.494,High
brick cheese,111,8.9,5.6,2.6,0.2,0.8,0.2,7.0,0.0,28.2,0.2,12.3,0.016,0.042,0.059,0.074,0.1,0.085,0.086,0.033,0.0,0.0,0.072,0.064,119.5375,0.093,0.1,7.2,0.085,135.3,40.8,0.056,0.8,219.002,High
asadero cheese,402,23.049999999999997,6.654,8.413375,1.0,3.2,3.2,25.5,0.0,65.9375,0.696,47.6,0.0775,0.034,0.005,0.043,0.3,0.2,0.3,0.024,0.0,0.0,0.3,0.02,119.5375,0.067,0.6,29.4,0.024,425.98749999999995,97.2,0.096,2.9175,312.37675,High
camembert cheese,90,7.3,4.6,2.1,0.2,0.1,0.1,5.9,0.0,21.6,0.3,15.5,0.0775,0.054,0.043,0.034,0.1,0.2,0.4,0.017,0.0,0.0,0.014,0.024,116.4,0.046,0.063,6.0,0.075,104.1,56.1,0.035,0.7,129.826,High
provolone cheese reduced fat,310,19.9,6.654,5.5,0.6,4.0,0.6,27.9,0.0,62.2,0.696,57.2,0.0775,0.05,0.063,0.079,0.4,0.2,0.5,0.061,0.0,0.0,0.2,0.076,119.5375,0.077,0.6,31.6,0.096,425.98749999999995,155.9,0.054,2.9175,312.37675,High
roquefort cheese,314,23.049999999999997,6.654,7.2,1.1,1.7,0.0,18.3,0.0,65.9375,0.696,33.5,0.0775,0.092,0.037,0.002,0.4865,0.6,1.5,0.1,0.0,0.0,0.0,0.0,119.5375,0.005,0.5,25.5,0.036,333.2,77.4,0.081,1.8,312.37675,High
queso blanco cheese,366,23.049999999999997,6.654,7.6,1.4,3.0,2.1,24.0,0.0,65.9375,0.696,57.5,0.0775,0.097,0.0,0.022,0.3,0.038,0.5,0.1,0.0,0.0,0.6,0.061,119.5375,0.098,0.2,34.2,0.067,425.98749999999995,148.7,0.016,2.9175,312.37675,High
queso seco cheese,315,23.049999999999997,6.654,6.2,1.2,2.0,0.5,23.8,0.0,65.9375,0.696,40.9,0.0775,0.038,0.0,0.01,0.2,0.027,0.4,0.049,0.0,0.0,0.5,0.045,119.5375,0.091,0.2,26.2,0.083,425.98749999999995,112.5,0.048,2.9175,312.37675,High
goat cheese soft,75,6.0,4.1,1.4,0.1,0.0,0.3,5.2,0.0,13.0,0.1,17.2,0.049,0.057,0.037,0.012,0.1,0.1,0.2,0.036,0.0,0.0,0.01,0.093,39.6,0.2,0.5,4.5,0.026,72.4,7.4,0.014,0.3,51.311,Medium
mozzarella cheese,90,6.6,4.2,2.0,0.2,0.7,0.0,6.7,0.0,23.7,0.1,15.0,0.037,0.088,0.088,0.081,0.071,0.013,0.089,0.016,0.0,0.0,0.001,0.008,119.5375,0.057,0.1,6.0,0.019,106.2,22.8,0.047,0.9,165.648,High
chihuahua cheese,494,23.049999999999997,6.654,8.413375,1.2,7.3,7.3,28.5,0.0,65.9375,0.696,51.7,0.007,0.053,0.031,0.082,0.3,0.2,0.4,0.061,0.0,0.0,0.3,0.011,119.5375,0.03,0.6,30.4,0.047,425.98749999999995,68.6,0.071,2.9175,312.37675,High
limburger cheese,98,8.2,5.0,2.6,0.1,0.1,0.1,6.0,0.0,27.0,0.2,14.5,0.0775,0.021,0.095,0.082,0.2,0.009,0.4,0.002,0.0,0.0,0.055,0.046,119.5375,0.036,0.011,6.3,0.054,117.9,38.4,0.029,0.6,163.575,High
muenster cheese,486,23.049999999999997,6.654,8.413375,0.9,1.5,1.5,30.9,0.0,65.9375,0.696,55.1,0.0775,0.016,0.009,0.085,0.4,0.1,0.3,0.072,0.0,0.0,0.3,0.056,119.5375,0.008,0.5,35.6,0.093,425.98749999999995,176.9,0.059,2.9175,312.37675,High
queso fresco cheese,365,23.049999999999997,6.654,7.3,1.3,3.6,2.8,22.1,0.0,65.9375,0.696,62.7,0.0775,0.019,0.029,0.076,0.2,0.05,0.4,0.06,0.0,0.0,0.5,0.087,119.5375,0.025,0.2,29.3,0.053,425.98749999999995,157.4,0.073,2.9175,312.37675,High
brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1,6.2,0.0,30.0,0.2,14.5,0.014,0.04,0.025,0.073,0.2,0.1,0.2,0.001,0.0,0.0,0.078,0.056,55.2,0.015,0.2,6.0,0.047,56.4,45.6,0.04,0.7,70.096,Medium
pimento cheese,525,23.049999999999997,6.654,8.413375,1.4,2.4,0.9,31.0,0.1,65.9375,0.696,54.7,0.0775,0.023,0.043,0.016,0.4865,0.1,0.7,0.011,3.2,0.0,0.4,0.086,119.5375,0.032,0.6,30.8,0.031,425.98749999999995,226.8,0.089,2.9175,312.37675,High
mexican cheese,316,21.7,6.654,5.6,0.8,3.8,0.6,27.7,0.0,65.9375,0.696,54.0,0.0775,0.091,0.027,0.05,0.3,0.017,0.0,0.04,0.0,0.0,0.2,0.073,119.5375,0.034,0.1,39.2,0.0,425.98749999999995,104.2,0.006,2.9175,312.37675,High
feta cheese,80,6.4,4.0,1.4,0.2,1.2,0.0,4.3,0.0,26.7,0.3,16.6,0.014,0.063,0.021,0.076,0.3,0.3,0.3,0.1,0.0,0.0,0.036,0.057,119.5375,0.012,0.2,5.7,0.063,101.1,18.6,0.005,0.9,160.058,High
mozzarella cheese fat free,159,0.0,0.0,0.0,0.0,4.0,1.7,32.05,2.0,20.3,0.696,68.0,0.0775,0.079,0.011,0.025,0.3,0.1,0.0,0.055,0.0,0.0,0.2,0.018,119.5375,0.077,0.4,37.3,0.0,425.98749999999995,119.8,0.035,2.9175,312.37675,High
provolone cheese,463,23.049999999999997,6.654,8.413375,1.0,2.8,0.7,32.05,0.0,65.9375,0.696,54.1,0.0775,0.013,0.017,0.005,0.4,0.2,0.6,0.052,0.0,0.0,0.3,0.001,119.5375,0.011,0.7,37.0,0.033,425.98749999999995,182.2,0.017,2.9175,312.37675,High
anejo cheese,492,23.049999999999997,6.654,8.413375,1.2,6.1,6.1,28.3,0.0,65.9375,0.696,50.2,0.0775,0.069,0.081,0.077,0.3,0.088,0.3,0.011,0.0,0.0,0.3,0.078,119.5375,0.058,0.6,37.0,0.067,425.98749999999995,114.8,0.095,2.9175,312.37675,High
honey,64,0.0,0.0,0.0,0.0,17.3,8.0,0.08,0.025,0.0,0.011,3.6,0.0,0.0,0.022,0.0,0.003,0.012,0.03,0.004,0.1,0.0,0.0,0.0,1.3,0.061,0.017,0.4,0.098,0.8,10.9,0.021,0.008,18.892,Low
apple butter,35,0.063,0.038,0.066,0.064,8.5,7.1,0.045,0.3,0.0,0.003,11.3,0.0,0.078,0.02,0.0,0.053,0.092,0.005,0.057,0.1,0.0,0.06,0.075,2.8,0.085,0.025,0.8,0.093,1.6,18.2,0.078,0.095,11.836,Low
fruit jam,56,0.095,0.021,0.065,0.0,13.8,8.0,0.0,0.2,0.0,0.052,6.1,0.0,0.083,0.076,0.0,0.024,0.07,0.045,0.037,1.8,0.0,0.062,0.0,4.0,0.022,0.07,0.8,0.002,3.8,15.4,0.054,0.03,19.919,Low
chocolate hazelnut spread,100,5.5,5.3,0.0,0.0,11.5,8.0,1.0,1.0,0.0,0.099,0.2,0.0,0.005,0.02,0.042,0.036,0.072,0.1,0.056,0.0,0.0,0.75,0.071,20.0,0.061,0.8,11.8,0.2,28.1,75.3,0.021,0.2,39.8,Medium
peanut butter,88,7.4,1.4,3.1,1.7,3.6,1.0,3.3,0.9,0.0,0.085,0.2,0.0,0.0,0.081,0.063,0.0,0.041,1.9280000000000002,0.2,0.078,0.0,0.0,0.165,0.0,0.9400000000000001,0.079,0.3,1.6945,0.2,50.3,0.20099999999999998,0.044,15.268,Low
peanut spread,101,8.5,1.6,4.2,2.5,2.2,0.5,3.8,1.2,0.0,0.028,0.3,0.0,0.091,0.079,0.0,0.025,2.5,0.2,0.049,0.0,0.0,0.75,0.046,11.2,0.1,0.4,25.4,0.3,54.3,126.8,0.078,0.5,27.3,Low
chicken spread,88,9.8,1.8,2.7,1.3,2.3,0.3,10.1,0.2,31.4,0.4,32.1,0.076,0.06,0.048,0.064,0.003,1.5,0.2,0.016,0.0,0.0,0.0,0.0,9.0,0.049,0.5,6.7,0.083,49.8,59.4,0.029,0.6,31.972,Medium
cheese spread,579,23.049999999999997,6.654,8.413375,2.5,8.4,8.0,17.0,0.0,65.9375,0.696,140.4,0.0775,0.071,0.027,0.011,0.4865,2.3,0.0,0.051,0.0,0.0,0.75,0.098,119.5375,0.02,2.7,14.4,0.0,218.4,268.8,0.065,1.2,267.8,High
tahini,86,7.2,1.0,2.7,3.2,3.9,0.0,2.7,1.4,0.0,0.098,0.5,0.0,0.2,0.034,0.0,0.086,0.9,0.1,0.036,0.0,0.0,0.0,0.0,63.0,0.2,0.4,14.4,0.2,112.8,62.1,0.0,0.7,78.6,Medium
orange marmalade,49,0.0,0.0,0.0,0.0,13.3,8.0,0.014,0.1,0.0,0.016,6.6,0.0,0.098,0.06,0.0,0.075,0.065,0.028,0.046,1.0,0.0,0.089,0.0,7.6,0.076,0.053,0.4,0.055,0.8,7.4,0.057,0.046,22.119,Low
american cheese spread,46,3.4,2.1,1.0,0.062,1.4,1.2,2.6,0.0,8.8,0.3,7.6,0.043,0.012,0.066,0.022,0.076,0.089,0.1,0.086,0.0,0.0,0.022,0.046,89.9,0.061,0.079,4.6,0.062,140.0,38.7,0.052,0.4,97.357,Medium
apricot jam,48,0.01,0.042,0.0,0.0,12.9,8.0,0.1,0.044,0.0,0.004,6.9,0.0,0.0,0.017,0.0,0.053,0.096,0.087,0.068,1.8,0.0,0.048,0.0,4.0,0.07,0.066,0.8,0.099,0.6,15.4,0.009,0.062,18.91,Low
chunky peanut butter,94,8.0,1.2,3.7,2.2,3.5,1.3,3.8,1.3,0.0,0.03,0.2,0.0,0.018,0.094,0.0,0.013,2.2,0.2,0.072,0.0,0.0,0.75,0.016,7.2,0.002,0.3,25.6,0.3,51.0,119.2,0.045,0.4,24.1,Low
ham and cheese spread,37,2.8,1.3,1.1,0.2,0.3,0.0,2.4,0.0,9.2,0.2,8.9,0.03,0.0,0.094,0.035,0.066,0.3,0.098,0.041,0.0,0.0,0.0,0.0,32.6,0.087,0.1,2.7,0.063,74.3,24.3,0.065,0.3,38.238,Medium
chicken and rice casserole homade,27,1.0,0.0,0.0,0.0,2.4,0.0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,Low
picnic loaf,65,4.7,1.7,2.2,0.5,1.3,0.0,4.2,0.0,10.6,0.3,16.9,0.0,0.1,0.005,0.004,0.01,0.6,0.2,0.083,0.0,0.0,0.0,0.0,13.2,0.078,0.3,4.2,0.094,35.0,74.8,0.025,0.6,23.7,Low
corn tamale,309,12.0,4.4,4.0,2.6,44.3,8.0,5.8,5.3,0.0,0.5,101.8,0.0,0.098,0.0,0.0,0.023,2.2,0.6,0.3,0.0,0.0,0.7,0.052,39.8,0.02,0.9,48.1,0.4,154.4,308.8,0.075,1.0,108.1,High
baked potato with cheese sauce bacon,451,23.049999999999997,6.654,8.413375,4.1435,44.4,0.0,18.4,0.0,29.9,0.696,194.4,0.0775,0.3,0.011,0.007,0.2,4.0,1.3,0.7,4.0625,0.0,0.0,0.0,119.5375,0.6,3.1,68.8,0.5,346.8,809.3375,0.01,2.2,312.37675,High
chinese egg roll,223,10.6,1.9,2.7,4.1435,24.3,0.0,7.4,2.3,14.2,0.4,45.0,0.0,0.1,0.0,0.079,0.001,2.4,0.3,0.1,0.0,0.0,0.0,0.066,35.6,0.1,1.3,16.0,0.2,75.7,146.9,0.0,0.6,81.5,Medium
butter croissant,231,12.0,6.6,3.1,0.6,26.1,6.4,4.7,1.5,38.2,0.2,13.2,0.0775,0.2,0.021,0.092,0.1,1.2,0.5,0.095,0.1,0.0,0.5,0.022,21.1,0.07,1.2,9.1,0.2,59.9,67.3,0.054,0.4,66.8,Medium
enchilada with cheese beef,323,17.6,6.654,6.1,1.4,30.5,0.0,11.9,0.0,40.3,0.696,128.4,0.016,0.056,0.075,0.036,0.4,2.5,1.4,0.3,1.3,0.0,0.0,0.0,119.5375,0.5,3.1,82.6,0.6,167.0,574.1,0.092,2.7,292.933,High
corned beef hash with potatoes,387,23.049999999999997,6.654,8.413375,0.7,21.9,0.8,20.6,2.6,65.9375,0.696,166.0,0.0,0.2,0.013,0.062,0.1,3.7,1.0,0.5,2.1,0.0,0.057,0.017,44.8,0.0,2.4,30.7,0.2,132.2,405.9,0.034,2.9175,118.6,High
biscuit with egg cheese bacon,436,23.049999999999997,6.654,8.413375,2.8,35.4,2.5,17.4,0.3,65.9375,0.696,62.3,0.0775,0.4,0.097,0.067,0.4,3.4,1.1,0.2,0.0,0.0,0.75,0.098,119.5375,0.4,2.3,21.8,0.2,425.98749999999995,190.0,0.087,1.6,230.2,High
bagel with ham egg cheese,483,18.5,6.654,5.7,3.3,52.4,7.0,26.7,0.4,65.9375,0.696,88.7,0.0775,0.4925,0.1,0.048,0.4865,5.887499999999999,1.4,0.1,0.0,0.0,0.75,0.018,119.5375,0.4,4.1,40.1,0.4,397.3,261.7,0.098,2.4,287.6,High
quesadilla with chicken,529,23.049999999999997,6.654,6.8,4.1435,43.3,3.4,27.1,3.1,65.9375,0.696,76.7,0.0775,0.4,0.073,0.012,0.3,5.887499999999999,0.0,0.1,0.2,0.0,0.5,0.03,119.5375,0.1,3.2,45.0,0.5,425.98749999999995,329.4,0.025,2.6,312.37675,High
corn rice,110,0.3,0.02,0.0,0.1,25.2,3.0,1.8,0.4,0.0,0.2,1.1,0.0775,0.4925,0.0,0.0,0.4865,5.887499999999999,0.007,0.7064999999999999,4.0625,0.0,0.035,0.0,2.9,0.013,4.35,5.5,0.2,22.3,30.5,0.043,2.2,51.9,Medium
kung pao chicken,579,23.049999999999997,6.654,8.413375,4.1435,41.5,8.0,32.05,5.5,65.9375,0.696,314.0625,0.0,0.2,0.0,0.034,0.3,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.75,0.012,119.5375,0.4,4.35,90.0625,1.5,425.98749999999995,809.3375,0.097,2.9175,312.37675,High
beef empanada,298,16.3,4.6,6.3,3.8,27.8,1.6,10.1,1.8,23.1,0.4,33.4,0.0,0.2,0.0,0.094,0.2,4.2,0.4,0.1,0.0,0.0,0.6,0.072,17.8,0.051,2.4,18.7,0.2,91.7,169.1,0.037,1.7,76.2,Medium
frijoles with cheese,225,7.8,4.1,2.6,0.7,28.7,0.0,11.4,0.0,36.7,0.696,115.4,0.008,0.1,0.1,0.085,0.3,1.5,1.1,0.2,1.5,0.0,0.0,0.0,119.5375,0.3,2.2,85.2,0.5,175.4,604.5,0.013,1.7,240.305,High
burrito with beef,285,8.1,1.7,1.7,4.0,43.9,4.1,9.1,4.4,2.6,0.5,65.8,0.036,0.036,0.188,0.128125,0.023,0.2,1.9280000000000002,0.7064999999999999,0.1,0.0,0.0,0.165,0.042,0.9400000000000001,0.2,3.2,1.6945,0.5,150.9,0.20099999999999998,0.002,65.89,Medium
crispy chicken sandwich,350,17.6,3.3,4.0,4.1435,33.2,3.9,14.8,0.0,0.0,0.696,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,0.09,1.9,25.2,0.3,229.3,233.1,0.0,0.7,114.1,High
enchilada with cheese,374,23.049999999999997,6.654,6.4,3.8,21.2,3.6,15.4,2.6,57.5,0.696,71.8,0.0775,0.3,0.081,0.073,0.036,0.3,0.9,0.7064999999999999,0.2,0.0,0.0,0.165,0.0,0.9400000000000001,0.2,0.9,1.6945,0.2,367.2,0.20099999999999998,0.03,65.6,Medium
pork egg roll,189,6.1,1.3,2.0,2.1,25.1,4.5,8.4,1.8,11.9,0.3,43.6,0.0,0.2,0.019,0.071,0.023,1.9,0.4,0.1,4.0625,0.0,0.2,0.064,28.9,0.024,1.3,17.0,0.3,77.4,180.2,0.071,0.8,96.5,Medium
corn on the cob with butter,155,3.4,1.6,1.0,0.6,31.9,0.0,4.5,0.0,5.8,0.056,105.2,0.004,0.2,0.045,0.0,0.1,2.2,0.4,0.3,4.0625,0.0,0.0,0.0,4.4,0.0,0.9,40.9,0.0,108.0,359.2,0.034,0.9,52.078,Medium
pancakes with butter syrup,260,7.0,2.9,2.6,1.0,45.4,0.0,4.1,0.0,29.0,0.6,57.7,0.015,0.2,0.082,0.046,0.3,1.7,0.3,0.051,1.7,0.0,0.7,0.0,63.8,0.073,1.3,24.4,0.2,237.8,125.3,0.075,0.5,123.319,High
burrito with beans,224,6.7,3.4,2.4,0.6,35.7,0.0,7.0,0.0,2.2,0.5,57.0,0.0,0.3,0.067,0.093,0.3,2.0,1.0,0.2,1.0,0.0,0.0,0.0,56.4,0.2,2.3,43.4,0.4,48.8,326.6,0.024,0.8,109.1,High
scrambled eggs,100,7.6,2.9,2.8,0.9,1.0,0.8,6.5,0.0,65.9375,0.1,31.3,0.066,0.066,0.045,0.041,0.2,0.095,0.4,0.076,1.6,0.0,0.5,0.001,26.8,0.093,1.2,6.6,0.066,113.7,69.1,0.012,0.8,44.726,Medium
baked potato with sour cream,393,22.3,6.654,7.9,3.3,50.0,0.0,6.7,0.0,24.2,0.2,209.7,0.0775,0.3,0.086,0.009,0.2,3.7,1.5,0.7064999999999999,4.0625,0.0,0.0,0.0,105.7,0.7,3.1,69.5,0.6,184.2,809.3375,0.088,0.9,221.8,High
turkey and gravy,161,6.3,2.0,2.3,1.1,11.1,0.0,14.1,0.0,43.2,0.696,204.2,0.018,0.067,0.058,0.099,0.3,4.3,0.5,0.2,0.0,0.0,0.0,0.0,33.6,0.035,2.2,19.2,0.045,194.4,146.4,0.003,1.7,67.374,Medium
chicken egg roll,158,3.6,0.8,1.1,1.5,22.8,4.5,8.4,1.9,11.2,0.4,43.3,0.0775,0.2,0.013,0.019,0.1,2.9,0.5,0.2,4.0625,0.0,0.3,0.072,37.6,0.056,1.4,24.0,0.3,94.4,224.8,0.032,0.4,84.75,Medium
vegetable egg roll,153,3.6,0.6,1.0,1.7,25.0,5.3,5.2,2.2,0.0,0.4,42.5,0.0,0.2,0.04,0.014,0.1,1.6,0.3,0.1,4.0625,0.0,0.4,0.099,35.9,0.082,1.5,20.3,0.4,64.7,195.0,0.005,0.4,84.1,Medium
ham cheese roll,67,5.2,2.0,2.4,0.6,1.1,0.0,3.8,0.0,16.2,0.3,16.9,0.0,0.2,0.004,0.008,0.033,1.0,0.1,0.019,0.0,0.0,0.037,0.0,16.2,0.078,0.3,4.5,0.0,70.8,82.3,0.018,0.6,26.6,Low
biscuit with ham,386,18.4,6.654,4.8,1.0,43.8,2.2,13.4,0.8,24.9,0.696,32.1,0.05,0.4925,0.003,0.0,0.3,3.5,0.4,0.1,0.1,0.0,0.75,0.089,119.5375,0.054,2.7,22.6,0.4,425.98749999999995,196.6,0.011,1.6,239.732,High
lemon chicken,579,23.049999999999997,6.654,8.413375,4.1435,61.81249999999999,8.0,32.05,5.5,65.9375,0.696,314.0625,0.0775,0.3,0.069,0.028,0.4,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.75,0.165,119.5375,0.2,4.35,90.0625,0.6,425.98749999999995,809.3375,0.001,2.9175,312.37675,High
hummus,435,21.1,2.8,8.413375,4.1435,49.5,0.7,12.0,5.5,0.0,0.6,159.6,0.0,0.2,0.1,0.0,0.1,1.0,0.7,0.7064999999999999,4.0625,0.0,0.75,0.059,119.5375,0.6,3.8,71.3,1.4,270.6,425.6,0.038,2.7,236.1,High
croissant with egg cheese,368,23.049999999999997,6.654,7.5,1.4,24.3,0.0,12.8,0.0,65.9375,0.6,57.7,0.0,0.2,0.096,0.043,0.4,1.5,1.1,0.1,0.1,0.0,0.0,0.0,119.5375,0.077,2.2,21.6,0.2,348.0,174.0,0.065,1.8,307.9,High
enchirito with cheese beef beans,344,16.1,6.654,6.5,0.3,33.8,0.0,17.9,0.0,50.2,0.696,121.0,0.074,0.2,0.028,0.051,0.4865,3.0,1.8,0.2,4.0625,0.0,0.0,0.0,119.5375,0.3,2.4,71.4,0.4,223.9,559.7,0.016,2.8,292.984,High
sweet sour pork,38,2.2,0.4,0.5,1.0,3.3,1.4,1.2,0.1,3.4,0.003,7.1,0.003,0.073,0.0,0.002,0.053,0.3,0.086,0.003,0.3,0.0,0.1,0.058,6.4,0.024,0.4,1.8,0.054,18.6,21.3,0.053,0.1,13.977,Low
crab cake,160,10.4,2.2,4.3,3.1,5.1,0.0,11.3,0.2,65.9375,0.5,32.0,0.062,0.039,0.07,0.019,0.016,1.2,0.3,0.1,0.2,0.0,0.0,0.0,119.5375,0.4,1.1,25.2,0.3,226.8,162.0,0.029,2.1,230.596,High
egg dinner roll,107,2.2,0.6,1.0,0.4,18.2,1.5,3.3,1.3,17.5,0.2,10.6,0.051,0.2,0.096,0.06,0.2,1.2,0.2,0.065,0.0,0.0,0.1,0.082,20.7,0.04,1.2,8.8,0.2,35.4,36.4,0.066,0.4,46.913,Medium
english muffin with egg cheese sausage,472,23.049999999999997,6.654,8.413375,4.1435,28.8,2.5,22.1,0.3,65.9375,0.696,80.6,0.0775,0.4925,0.001,0.093,0.4,5.3,1.8,0.1,0.0,0.0,0.75,0.051,119.5375,0.3,4.3,28.1,0.3,297.0,242.6,0.064,1.7,312.37675,High
